genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
"[16, 28, 12]",569094,en,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",501.032,2023-05-31,Spider-Man: Across the Spider-Verse,8.4,4933
"[16, 10751, 12, 14, 35]",502356,en,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",489.392,2023-04-05,The Super Mario Bros. Movie,7.753,7186
"[35, 12, 14]",346698,en,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",546.3,2023-07-19,Barbie,7.2,5951
"[28, 80, 18, 53]",939335,en,"LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a chokehold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.",480.984,2023-09-29,Muzzle,6.7,120
"[16, 10751, 12, 18, 35]",150540,en,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.",450.723,2015-06-09,Inside Out,7.921,19653
"[27, 53]",1008042,en,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",444.966,2023-07-26,Talk to Me,7.188,1768
"[16, 10751, 10402, 14, 35]",901362,en,"When Branch’s brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.",435.208,2023-10-12,Trolls Band Together,6.6,49
"[28, 12, 878, 53]",9381,en,A veteran-turned-mercenary is hired to take a young woman with a secret from post-apocalyptic Eastern Europe to New York City.,433.058,2008-08-20,Babylon A.D.,5.602,1902
"[16, 35, 28, 878]",614930,en,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",452.989,2023-07-31,Teenage Mutant Ninja Turtles: Mutant Mayhem,7.313,838
"[28, 18, 10752]",554600,hi,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",431.319,2019-01-11,Uri: The Surgical Strike,7.162,306
"[28, 53, 80]",603692,en,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",429.259,2023-03-22,John Wick: Chapter 4,7.792,4985
"[27, 53]",76617,en,"A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.",427.075,2013-01-03,Texas Chainsaw 3D,5.46,1541
"[16, 12, 10751, 14]",459003,uk,"Forest soul Mavka faces an impossible choice between her heart and her duty as guardian to the Heart of the Forest, when she falls in love with the talented young human musician Lukas.",426.589,2023-03-02,Mavka: The Forest Song,7.268,503
"[80, 53]",800158,en,"After a fateful near-miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal.",424.687,2023-10-25,The Killer,6.724,803
"[28, 10752]",975902,en,"Inspired by events in A.D. 60, Boudica follows the eponymous Celtic warrior who rules the Iceni people alongside her husband Prasutagus. When he dies at the hands of Roman soldiers, Boudica’s kingdom is left without a male heir and the Romans seize her land and property.  Driven to the edge of madness and determined to avenge her husband’s death, Boudica rallies the various tribes from the region and wages an epic war against the mighty Roman empire.",408.036,2023-10-26,Boudica,6.159,82
"[878, 12, 28]",76600,en,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",406.5,2022-12-14,Avatar: The Way of Water,7.6,10179
"[9648, 53, 28]",1172009,en,"After his son is wrongly accused of kidnapping, a deacon who has just lost his wife takes matters into his own hands and fights a crooked police gang to clear him.",406.369,2023-09-22,The Black Book,6.603,58
"[28, 18, 10752]",554600,hi,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",431.319,2019-01-11,Uri: The Surgical Strike,7.162,306
"[27, 53]",76617,en,"A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.",427.075,2013-01-03,Texas Chainsaw 3D,5.46,1541
